id;mode;segment;code;dimension;description;min_val;max_val;units;enabled;created_at;updated_at
1;West ubiquitous;Idaho Buckinghamshire;open-source Japan;77419;calculate;invoice;monitor Loan;Zloty;false;2021-07-20T14:15:07;2021-07-20T06:18:05
2;synergies;reinvent Berkshire;Robust;28803;Shirt Berkshire;Persistent payment;Handmade synthesizing;interactive Fantastic invoice;false;2021-07-20T07:36:04;2021-07-20T10:12:46
3;Research;Response;Account open-source;55497;Fish gold South;users Plastic Account;Bedfordshire;Rial;false;2021-07-20T15:52:18;2021-07-20T02:32:47
4;static Accountability;matrix Future functionalities;customized end-to-end Locks;73839;set Plaza;Cambridgeshire full-range compressing;Zambian;1080p Investor Berkshire;true;2021-07-19T19:09:19;2021-07-20T10:45:12
5;online Bedfordshire;Wooden Islands;Human;2758;24/7 Steel;back;unleash Virginia;Account redundant;true;2021-07-20T08:17:36;2021-07-20T08:11:29
6;Avon Focused;Soap;partnerships;48369;Music;Associate Rubber;Tennessee Architect;Georgia;true;2021-07-19T23:29:46;2021-07-20T03:06:43
7;Fantastic;neural Pants;Marketing system-worthy customized;44768;Manors;Cambridgeshire;Fresh Planner;Small;true;2021-07-20T04:07:34;2021-07-20T00:11:21
8;Hampshire;copying;Antigua Industrial relationships;46651;Ports;Orchestrator Account;Faso Bridge Malawi;CSS Division;true;2021-07-20T13:02:55;2021-07-19T18:48:43
9;Rupee Producer;payment;relationships;66646;violet pixel;Money;Strategist Meadow;Baby green Wisconsin;false;2021-07-20T04:33:32;2021-07-20T00:11:53
10;Synergistic;multi-tasking customer;Bedfordshire;4402;Down-sized Cambridgeshire;Bedfordshire;solutions Ameliorated Usability;Plain help-desk connecting;true;2021-07-20T03:25:40;2021-07-19T19:47:32
